Crop,Crop type,Altitude (masl),temperature (C) ,pH,Soil type,N,P,K,Crop water need (mm/total growing period),Growing period (days),Humidity(%),Season A start(month),Season A end,Season B start(month),Season B end(month)
Mango,Fruit,1028.817297095341,21.16370773006141,6.414001392246426," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,666.0385335205511,122.20707707812983,74.82360209974918,9,12-2,2,5-7
Mango,Fruit,878.0384390978197,21.850230586228758,6.605845384725674," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1125.1176891983398,113.6836393619892,78.18922737163146,9,12-2,2,5-7
Mango,Fruit,955.887321294542,23.850516326055043,6.690716614072346," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1145.5474957626884,125.3333423959966,73.05675190190979,9,12-2,2,5-7
Mango,Fruit,1239.8602014374728,23.082484535858455,6.454908174013737," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,611.1260827691585,129.17617720229202,69.35538790518183,9,12-2,2,5-7
Mango,Fruit,797.6407062157058,21.482928353002077,6.642012941573753," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,918.2377105343569,130.92223383603368,76.75387249000825,9,12-2,2,5-7
Mango,Fruit,806.5439745230899,23.021788069645744,6.630666977366097," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,799.379580452904,116.79159702856437,62.3672729911167,9,12-2,2,5-7
Mango,Fruit,1123.6694286722495,21.18318233868325,6.579022967236207," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,905.1037016231925,116.8419995053204,70.2672242386474,9,12-2,2,5-7
Mango,Fruit,1271.585083998727,22.57263996591777,6.379318979160439," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,674.8466014070497,114.69469663612242,73.698345225538,9,12-2,2,5-7
Mango,Fruit,883.0706213704852,22.84552709932669,6.060797632964349," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,843.3564369491843,100.22079818117436,70.82525020769518,9,12-2,2,5-7
Mango,Fruit,1199.6456698630136,20.747988361351943,6.456585268245518," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,996.1613569112571,111.8800363307622,69.89154866591076,9,12-2,2,5-7
Mango,Fruit,1117.627617875334,22.92256054253984,6.347722760799349," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1069.2901382054902,148.75471629861838,67.60714452184051,9,12-2,2,5-7
Mango,Fruit,940.6026435121091,21.87688628248659,6.175346245985302," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,943.7736028829304,135.38068800882075,77.07946111505825,9,12-2,2,5-7
Mango,Fruit,1105.127057978446,22.708816333309695,6.516581677373202," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,902.1443417996932,104.53705010888243,67.41333210004179,9,12-2,2,5-7
Mango,Fruit,1238.500026015369,22.472987872199884,6.480346782910434," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,844.93983372455,133.5579682395731,68.19990027782686,9,12-2,2,5-7
Mango,Fruit,845.4234290427255,23.01040352166647,6.636190860145778," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,725.8423765503807,114.57306798212282,60.56579610838478,9,12-2,2,5-7
Mango,Fruit,1361.4728271484582,25.894701446113416,6.795624019809879," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,635.7044835393726,134.40663429632713,74.67754074632883,9,12-2,2,5-7
Mango,Fruit,755.2610386467785,20.16677026104115,6.294796950537817," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,674.9893570340173,101.59244305812597,78.39533851265878,9,12-2,2,5-7
Mango,Fruit,1301.271325497774,23.93134139064629,6.788955153648633," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1130.5879539000514,104.19907502390365,68.94549601318643,9,12-2,2,5-7
Mango,Fruit,1024.0624883432874,20.979618819529897,6.251229368844684," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,941.4160944081436,123.73037384731384,69.03037223593302,9,12-2,2,5-7
Mango,Fruit,707.8736416845887,24.480381795673892,6.03066226249685," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,742.7338948248567,132.07643101507693,73.03248387712743,9,12-2,2,5-7
Mango,Fruit,1294.8402217199355,23.206314945558283,6.35684005357142," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1061.3525628622588,110.61354970734268,71.00415614602514,9,12-2,2,5-7
Mango,Fruit,927.6225466653789,20.391997650246555,6.291151282188544," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,674.4924103209468,106.63109784118251,74.00737433914485,9,12-2,2,5-7
Mango,Fruit,1057.0242356435642,20.661536981502135,6.164346011906746," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,845.5151486981346,136.47419236030188,75.32108515040642,9,12-2,2,5-7
Mango,Fruit,1133.1631810238746,25.21088153170427,6.506439769153342," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,855.0945560902227,122.02670744194177,72.0912433852279,9,12-2,2,5-7
Mango,Fruit,1321.4198441249216,25.639652783948897,6.754353286322154," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,910.7659735573666,121.42299664805633,62.65122101034434,9,12-2,2,5-7
Mango,Fruit,943.3204626126937,22.17863153925258,6.723243677621022," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1105.8054288264311,122.35794142881844,67.54059243273845,9,12-2,2,5-7
Mango,Fruit,954.9235090990321,23.25672530533053,6.068265932479041," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1039.781147405688,114.57792798331836,78.31426794084257,9,12-2,2,5-7
Mango,Fruit,940.7484075920408,23.892253735055334,6.288942838801948," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,625.1552984771101,148.72484188501772,65.35137689650884,9,12-2,2,5-7
Mango,Fruit,1114.2054431799545,23.07148318650575,6.790761958762279," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1016.5577398639116,142.00622191432618,67.75155185366779,9,12-2,2,5-7
Mango,Fruit,956.289137244634,21.397909911020722,6.579582561509634," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1188.6505360534838,115.69284219111864,68.21004372116622,9,12-2,2,5-7
Mango,Fruit,825.325362879001,23.191427513429524,6.875932534952846," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,797.8589442334156,113.40676675059477,67.02181170065093,9,12-2,2,5-7
Mango,Fruit,1038.1451163257202,20.950106943264043,6.529612719464435," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,731.4064321328352,100.57537264356344,76.47936791353794,9,12-2,2,5-7
Mango,Fruit,1248.9584772430787,24.384111439622853,6.8671365019396635," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,789.3079352391912,149.0736691904401,72.31697372511896,9,12-2,2,5-7
Mango,Fruit,971.9227018432703,20.774335985279954,6.609277969938876," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1024.4724927910377,125.07630291429601,71.77378219907413,9,12-2,2,5-7
Mango,Fruit,695.4857638147371,23.616386559917338,6.019245516671295," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,977.1408870937058,118.56602022865786,61.86913015658882,9,12-2,2,5-7
Mango,Fruit,1331.1868461872432,21.56443683658701,6.329753471115119," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,884.7192724389706,137.94932522917034,74.89765396012706,9,12-2,2,5-7
Mango,Fruit,1025.7634461308896,21.486621794133832,6.126678466218645," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,878.1990316677586,135.8768888949107,77.23719061758916,9,12-2,2,5-7
Mango,Fruit,908.4207194281942,22.647889734131223,6.232324579256249," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,852.5059230837456,132.5900737603419,62.74787494436589,9,12-2,2,5-7
Mango,Fruit,1350.1107715012122,24.843543034107586,6.622603826775066," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,956.5392749257371,123.09003103503315,69.23882930760807,9,12-2,2,5-7
Mango,Fruit,750.5991774212899,20.681674178078183,6.139002182814855," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1150.2830289662193,135.71874415029603,61.0667413420659,9,12-2,2,5-7
Mango,Fruit,737.6886817477721,24.825606397276147,6.172887402133713," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,948.7433945246378,124.40603096324512,77.9021452822904,9,12-2,2,5-7
Mango,Fruit,1153.7221335109452,23.497548214979027,6.91100679758437," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,841.7891587315979,128.99175201628503,79.58043243936214,9,12-2,2,5-7
