Crop,Crop type,Altitude (masl),temperature (C) ,pH,Soil type,N,P,K,Crop water need (mm/total growing period),Humidity(%),Season A start(month),Season A end,Season B start(month),Season B end(month)
Mango,Fruit,838.9064434151425,21.862568364025645,6.323748194758329," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1158.252640697536,64.09067422120486,9,12-2,2,5-7
Mango,Fruit,972.1482873873706,23.21054062863784,6.330444001046331," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,838.2981675316041,66.09002133930862,9,12-2,2,5-7
Mango,Fruit,878.0950341856509,23.36921536434124,6.020327608997397," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,976.9094592933836,76.04483587661534,9,12-2,2,5-7
Mango,Fruit,1331.94892844254,23.011749731734028,6.873046167366737," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1089.905700556278,73.17523860266239,9,12-2,2,5-7
Mango,Fruit,1298.254629980168,24.34133207359791,6.623895796664039," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,910.3015810019084,75.95905195898081,9,12-2,2,5-7
Mango,Fruit,1207.2126105629914,21.22203108050062,6.903714063061442," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1111.6075633649316,74.13919305443957,9,12-2,2,5-7
Mango,Fruit,1339.1771118714653,25.84967648858197,6.310999877260724," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1098.4865502545942,74.78970780043464,9,12-2,2,5-7
Mango,Fruit,945.799434903942,23.43268714336001,6.111563971281181," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,923.6303172546734,62.27599291865876,9,12-2,2,5-7
Mango,Fruit,1190.660991353806,21.758176913829036,6.334891447887276," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,935.6151780331412,73.76015979135545,9,12-2,2,5-7
Mango,Fruit,1168.0318874610066,25.51910725152618,6.069441166417603," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,814.5619195857653,68.03349626603408,9,12-2,2,5-7
Mango,Fruit,1134.8198012959076,25.42056879607324,6.411488658604926," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,784.7937894272396,62.06156688695092,9,12-2,2,5-7
Mango,Fruit,771.6838551789542,25.937244963337548,6.280671221812826," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1009.9529958140172,77.19164416481915,9,12-2,2,5-7
Mango,Fruit,853.7618400604491,20.651297862277453,6.563997211289021," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,821.271307084027,63.77060912743092,9,12-2,2,5-7
Mango,Fruit,1300.7650973487891,22.97677758297373,6.981241441547396," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,922.5959173071668,66.11222010554668,9,12-2,2,5-7
Mango,Fruit,1286.0581733921922,20.674696297866937,6.295744825835207," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1119.2669101294948,78.90357072472784,9,12-2,2,5-7
Mango,Fruit,1098.1417133761938,20.76126909574758,6.792639332265064," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,962.2844708892676,68.22544876637343,9,12-2,2,5-7
